Index Name ,Date ,P/E ,P/B ,Div Yield% 
NIFTY BANK,01-JAN-2024,16.58,2.81,0.77
NIFTY BANK,02-JAN-2024,16.42,2.78,0.77
NIFTY BANK,03-JAN-2024,16.4,2.78,0.77
NIFTY BANK,04-JAN-2024,16.57,2.81,0.77
NIFTY BANK,05-JAN-2024,16.56,2.8,0.77
NIFTY BANK,08-JAN-2024,16.31,2.76,0.78
NIFTY BANK,09-JAN-2024,16.24,2.75,0.78
NIFTY BANK,10-JAN-2024,16.28,2.76,0.78
NIFTY BANK,11-JAN-2024,16.31,2.76,0.78
NIFTY BANK,12-JAN-2024,16.4,2.78,0.77
NIFTY BANK,15-JAN-2024,16.56,2.8,0.77
NIFTY BANK,16-JAN-2024,16.54,2.8,0.77
NIFTY BANK,17-JAN-2024,15.84,2.68,0.8
NIFTY BANK,18-JAN-2024,15.4,2.66,0.81
NIFTY BANK,19-JAN-2024,15.39,2.66,0.81
NIFTY BANK,20-JAN-2024,15.47,2.68,0.8
NIFTY BANK,23-JAN-2024,15.12,2.62,0.82
NIFTY BANK,24-JAN-2024,14.93,2.62,0.82
NIFTY BANK,25-JAN-2024,14.84,2.61,0.82
NIFTY BANK,29-JAN-2024,15.03,2.64,0.81
NIFTY BANK,30-JAN-2024,14.94,2.64,0.81
NIFTY BANK,31-JAN-2024,15.15,2.68,0.8
NIFTY BANK,01-FEB-2024,15.21,2.69,0.8
NIFTY BANK,02-FEB-2024,15.11,2.68,0.8
NIFTY BANK,05-FEB-2024,15.07,2.67,0.81
NIFTY BANK,06-FEB-2024,15.2,2.66,0.81
NIFTY BANK,07-FEB-2024,15.24,2.67,0.81
NIFTY BANK,08-FEB-2024,14.97,2.62,0.82
NIFTY BANK,09-FEB-2024,15.18,2.66,0.81
NIFTY BANK,12-FEB-2024,14.93,2.61,0.82
NIFTY BANK,13-FEB-2024,15.11,2.65,0.81
NIFTY BANK,14-FEB-2024,15.24,2.67,0.8
NIFTY BANK,15-FEB-2024,15.34,2.69,0.8
NIFTY BANK,16-FEB-2024,15.4,2.7,0.8
NIFTY BANK,19-FEB-2024,15.45,2.71,0.79
NIFTY BANK,20-FEB-2024,15.63,2.74,0.78
NIFTY BANK,21-FEB-2024,15.61,2.74,0.79
NIFTY BANK,22-FEB-2024,15.58,2.73,0.79
NIFTY BANK,23-FEB-2024,15.54,2.72,0.79
NIFTY BANK,26-FEB-2024,15.46,2.71,0.79
NIFTY BANK,27-FEB-2024,15.47,2.71,0.79
NIFTY BANK,28-FEB-2024,15.26,2.68,0.8
NIFTY BANK,29-FEB-2024,15.31,2.68,0.8
NIFTY BANK,01-MAR-2024,15.7,2.75,0.78
NIFTY BANK,02-MAR-2024,15.7,2.75,0.78
NIFTY BANK,04-MAR-2024,15.75,2.76,0.78
NIFTY BANK,05-MAR-2024,15.8,2.77,0.78
NIFTY BANK,06-MAR-2024,15.92,2.79,0.77
NIFTY BANK,07-MAR-2024,15.88,2.78,0.77
NIFTY BANK,11-MAR-2024,15.71,2.75,0.78
NIFTY BANK,12-MAR-2024,15.7,2.75,0.78
NIFTY BANK,13-MAR-2024,15.6,2.73,0.79
NIFTY BANK,14-MAR-2024,15.53,2.72,0.79
NIFTY BANK,15-MAR-2024,15.47,2.71,0.79
NIFTY BANK,18-MAR-2024,15.46,2.71,0.79
NIFTY BANK,19-MAR-2024,15.4,2.7,0.8
NIFTY BANK,20-MAR-2024,15.37,2.7,0.8
NIFTY BANK,21-MAR-2024,15.5,2.72,0.79
NIFTY BANK,22-MAR-2024,15.56,2.73,0.79
NIFTY BANK,26-MAR-2024,15.47,2.71,0.79
NIFTY BANK,27-MAR-2024,15.53,2.72,0.79
NIFTY BANK,28-MAR-2024,15.84,2.77,0.78
NIFTY BANK,01-APR-2024,15.99,2.8,0.77
NIFTY BANK,02-APR-2024,15.98,2.8,0.77
NIFTY BANK,03-APR-2024,16,2.8,0.77
NIFTY BANK,04-APR-2024,16.15,2.83,0.76
NIFTY BANK,05-APR-2024,16.3,2.85,0.75
NIFTY BANK,08-APR-2024,16.33,2.86,0.75
NIFTY BANK,09-APR-2024,16.38,2.87,0.75
NIFTY BANK,10-APR-2024,16.46,2.88,0.75
NIFTY BANK,12-APR-2024,16.32,2.86,0.75
NIFTY BANK,15-APR-2024,16.05,2.81,0.77
NIFTY BANK,16-APR-2024,15.96,2.79,0.77
NIFTY BANK,18-APR-2024,15.82,2.77,0.78
NIFTY BANK,19-APR-2024,15.99,2.8,0.77
NIFTY BANK,22-APR-2024,16.11,2.82,0.76
NIFTY BANK,23-APR-2024,15.77,2.82,0.76
NIFTY BANK,24-APR-2024,15.84,2.83,0.76
NIFTY BANK,25-APR-2024,15.94,2.85,0.75
NIFTY BANK,26-APR-2024,14.99,2.84,0.76
NIFTY BANK,29-APR-2024,15.33,2.91,0.74
NIFTY BANK,30-APR-2024,15.2,2.91,0.74
NIFTY BANK,02-MAY-2024,15.15,2.9,0.74
NIFTY BANK,03-MAY-2024,15.09,2.89,0.75
NIFTY BANK,06-MAY-2024,15.08,2.88,0.75
NIFTY BANK,07-MAY-2024,14.85,2.85,0.76
NIFTY BANK,08-MAY-2024,14.77,2.83,0.76
NIFTY BANK,09-MAY-2024,14.6,2.8,0.77
NIFTY BANK,10-MAY-2024,14.58,2.8,1.16
NIFTY BANK,13-MAY-2024,14.53,2.82,1.15
NIFTY BANK,14-MAY-2024,14.57,2.82,1.15
NIFTY BANK,15-MAY-2024,14.52,2.81,1.15
NIFTY BANK,16-MAY-2024,14.61,2.83,0.87
NIFTY BANK,17-MAY-2024,14.65,2.84,0.87
NIFTY BANK,18-MAY-2024,14.67,2.84,0.87
NIFTY BANK,21-MAY-2024,14.63,2.83,0.87
NIFTY BANK,22-MAY-2024,14.6,2.82,1.04
NIFTY BANK,23-MAY-2024,14.9,2.88,1.02
NIFTY BANK,24-MAY-2024,14.96,2.89,1.01
NIFTY BANK,27-MAY-2024,15.06,2.91,1
NIFTY BANK,28-MAY-2024,15.02,2.9,1.01
NIFTY BANK,29-MAY-2024,14.82,2.86,1.02
NIFTY BANK,30-MAY-2024,14.88,2.87,1.02
NIFTY BANK,31-MAY-2024,14.97,2.89,0.88
NIFTY BANK,03-JUN-2024,15.58,3.01,0.79
NIFTY BANK,04-JUN-2024,14.34,2.77,0.86
NIFTY BANK,05-JUN-2024,14.99,2.89,0.82
NIFTY BANK,06-JUN-2024,15.06,2.91,0.81
NIFTY BANK,07-JUN-2024,15.22,2.94,0.81
NIFTY BANK,10-JUN-2024,15.21,2.94,0.81
NIFTY BANK,11-JUN-2024,15.19,2.93,0.81
NIFTY BANK,12-JUN-2024,15.25,2.94,0.8
NIFTY BANK,13-JUN-2024,15.23,2.88,0.81
NIFTY BANK,14-JUN-2024,15.28,2.89,0.8
NIFTY BANK,18-JUN-2024,15.41,2.91,0.8
NIFTY BANK,19-JUN-2024,15.71,2.97,0.78
NIFTY BANK,20-JUN-2024,15.82,2.99,0.78
NIFTY BANK,21-JUN-2024,15.79,2.98,0.8
NIFTY BANK,24-JUN-2024,15.8,2.98,0.79
NIFTY BANK,25-JUN-2024,16.07,3.04,0.78
NIFTY BANK,26-JUN-2024,16.16,3.05,0.77
NIFTY BANK,27-JUN-2024,16.14,3.05,0.78
NIFTY BANK,28-JUN-2024,15.97,3.01,0.91
NIFTY BANK,01-JUL-2024,16.04,3.02,0.85
NIFTY BANK,02-JUL-2024,15.92,3,0.86
NIFTY BANK,03-JUL-2024,16.2,3.05,0.84
NIFTY BANK,04-JUL-2024,16.21,3.05,0.84
NIFTY BANK,05-JUL-2024,16.07,3.02,0.85
NIFTY BANK,08-JUL-2024,16,3.01,0.85
NIFTY BANK,09-JUL-2024,16.04,3.02,0.84
NIFTY BANK,10-JUL-2024,15.93,3,0.85
NIFTY BANK,11-JUL-2024,15.95,3,0.85
NIFTY BANK,12-JUL-2024,15.95,3,0.86
NIFTY BANK,15-JUL-2024,16.01,2.91,0.85
NIFTY BANK,16-JUL-2024,15.99,2.91,0.85
NIFTY BANK,18-JUL-2024,16.06,2.92,0.85
NIFTY BANK,19-JUL-2024,15.95,2.9,0.87
NIFTY BANK,22-JUL-2024,15.95,2.9,0.87
NIFTY BANK,23-JUL-2024,15.31,2.88,0.88
NIFTY BANK,24-JUL-2024,15.18,2.85,0.88
NIFTY BANK,25-JUL-2024,15.05,2.83,0.89
NIFTY BANK,26-JUL-2024,15.13,2.85,0.88
NIFTY BANK,29-JUL-2024,15.15,2.85,0.88
NIFTY BANK,30-JUL-2024,14.97,2.86,0.88
NIFTY BANK,31-JUL-2024,15.01,2.86,0.88
NIFTY BANK,01-AUG-2024,15.01,2.87,0.88
NIFTY BANK,02-AUG-2024,14.93,2.85,0.88
NIFTY BANK,05-AUG-2024,14.57,2.78,0.89
NIFTY BANK,06-AUG-2024,14.44,2.76,0.9
NIFTY BANK,07-AUG-2024,14.55,2.79,0.89
NIFTY BANK,08-AUG-2024,14.56,2.79,0.89
NIFTY BANK,09-AUG-2024,14.65,2.81,0.73
NIFTY BANK,12-AUG-2024,14.68,2.81,0.91
NIFTY BANK,13-AUG-2024,14.46,2.77,0.93
NIFTY BANK,14-AUG-2024,14.43,2.76,0.93
NIFTY BANK,16-AUG-2024,14.66,2.81,0.91
NIFTY BANK,19-AUG-2024,14.62,2.8,0.92
NIFTY BANK,20-AUG-2024,14.74,2.82,0.91
