Symbol,Date,Expiry,Option type,Strike Price,Close,No. of contracts,Open Int,Underlying Value,DTE,Spot,Strike_Distance,DTE_Distance
BANKNIFTY,2021-01-01,2021-01-28,CE,31200.0,923.7,667.0,23775.0,34684.0,27,31225.85,25.849999999998545,3
BANKNIFTY,2021-01-04,2021-02-04,CE,31200.0,1463.55,,,34684.0,31,31212.45,12.450000000000728,1
BANKNIFTY,2021-01-05,2021-02-04,CE,31700.0,1296.3,,,34684.0,30,31722.25,22.25,0
BANKNIFTY,2021-01-06,2021-02-04,CE,31800.0,1264.75,,,34684.0,29,31797.9,2.099999999998545,1
BANKNIFTY,2021-01-07,2021-02-04,CE,32000.0,1203.55,,,34684.0,28,31956.0,44.0,2
BANKNIFTY,2021-01-08,2021-02-04,CE,32100.0,1001.15,,,34684.0,27,32084.2,15.799999999999272,3
BANKNIFTY,2021-01-11,2021-02-11,CE,32000.0,1614.2,,,34684.0,31,31998.9,1.0999999999985448,1
BANKNIFTY,2021-01-12,2021-02-11,CE,32300.0,1505.75,,,34684.0,30,32339.0,39.0,0
BANKNIFTY,2021-01-13,2021-02-11,CE,32600.0,1403.1,,,34684.0,29,32574.65,25.349999999998545,1
BANKNIFTY,2021-01-14,2021-02-11,CE,32500.0,1436.7,,,34684.0,28,32519.75,19.75,2
BANKNIFTY,2021-01-15,2021-02-11,CE,32200.0,1541.25,,,34684.0,27,32246.8,46.79999999999927,3
BANKNIFTY,2021-01-18,2021-02-18,CE,31800.0,1820.85,,,34684.0,31,31811.75,11.75,1
BANKNIFTY,2021-01-19,2021-02-18,CE,32400.0,1588.2,,,34684.0,30,32424.85,24.849999999998545,0
BANKNIFTY,2021-01-20,2021-02-18,CE,32500.0,1551.8,,,34684.0,29,32543.7,43.70000000000073,1
BANKNIFTY,2021-01-21,2021-02-18,CE,32200.0,1663.05,,,34684.0,28,32186.9,13.099999999998545,2
BANKNIFTY,2021-01-22,2021-02-18,CE,31200.0,2078.5,,,34684.0,27,31167.25,32.75,3
BANKNIFTY,2021-01-25,2021-02-25,CE,31200.0,1179.25,293.0,3325.0,34684.0,31,31198.4,1.5999999999985448,1
BANKNIFTY,2021-01-27,2021-02-25,CE,30300.0,1210.45,109.0,1150.0,34684.0,29,30284.55,15.450000000000728,1
BANKNIFTY,2021-01-28,2021-02-25,CE,30400.0,1082.8,754.0,11950.0,34684.0,28,30358.3,41.70000000000073,2
BANKNIFTY,2021-01-29,2021-02-25,CE,30600.0,1099.3,1901.0,5025.0,34684.0,27,30565.5,34.5,3
BANKNIFTY,2021-02-01,2021-03-04,CE,33100.0,1000.0,2.0,,34684.0,31,33089.05,10.94999999999709,1
BANKNIFTY,2021-02-02,2021-03-04,CE,34300.0,1183.15,,,34684.0,30,34267.9,32.099999999998545,0
BANKNIFTY,2021-02-03,2021-03-04,CE,34800.0,1043.75,,,34684.0,29,34758.45,41.55000000000291,1
BANKNIFTY,2021-02-04,2021-03-04,CE,35300.0,960.45,,,34684.0,28,35344.8,44.80000000000291,2
BANKNIFTY,2021-02-05,2021-03-04,CE,35700.0,659.9,,,34684.0,27,35654.5,45.5,3
BANKNIFTY,2021-02-08,2021-03-10,CE,36000.0,714.2,,,34684.0,30,35983.65,16.349999999998545,0
BANKNIFTY,2021-02-09,2021-03-10,CE,36100.0,690.3,,,34684.0,29,36056.5,43.5,1
BANKNIFTY,2021-02-10,2021-03-10,CE,35800.0,762.7,,,34684.0,28,35783.1,16.900000000001455,2
BANKNIFTY,2021-02-11,2021-03-10,CE,35800.0,762.7,,,34684.0,27,35752.1,47.900000000001455,3
BANKNIFTY,2021-02-12,2021-03-10,CE,36100.0,690.3,,,34684.0,26,36108.9,8.900000000001455,4
BANKNIFTY,2021-02-15,2021-03-18,CE,37300.0,932.75,,,34684.0,31,37306.25,6.25,1
BANKNIFTY,2021-02-16,2021-03-18,CE,37100.0,986.7,,,34684.0,30,37098.4,1.5999999999985448,0
BANKNIFTY,2021-02-17,2021-03-18,CE,36900.0,1043.2,,,34684.0,29,36910.95,10.94999999999709,1
BANKNIFTY,2021-02-18,2021-03-18,CE,36600.0,1132.75,,,34684.0,28,36587.0,13.0,2
