Symbol,Date,Expiry,Option type,Strike Price,Close,No. of contracts,Open Int,Underlying Value,DTE,Spot,Strike_Distance,DTE_Distance
BANKNIFTY,2021-01-01,2021-01-28,PE,31200.0,814.5,1329.0,16875.0,34684.0,27,31225.85,25.849999999998545,3
BANKNIFTY,2021-01-04,2021-02-04,PE,31200.0,3018.85,,,34684.0,31,31212.45,12.450000000000728,1
BANKNIFTY,2021-01-05,2021-02-04,PE,31700.0,3348.5,,,34684.0,30,31722.25,22.25,0
BANKNIFTY,2021-01-06,2021-02-04,PE,31800.0,3416.3,,,34684.0,29,31797.9,2.099999999998545,1
BANKNIFTY,2021-01-07,2021-02-04,PE,32000.0,3553.85,,,34684.0,28,31956.0,44.0,2
BANKNIFTY,2021-01-08,2021-02-04,PE,32100.0,850.0,,,34684.0,27,32084.2,15.799999999999272,3
BANKNIFTY,2021-01-11,2021-02-11,PE,32000.0,2902.35,,,34684.0,31,31998.9,1.0999999999985448,1
BANKNIFTY,2021-01-12,2021-02-11,PE,32300.0,3092.0,,,34684.0,30,32339.0,39.0,0
BANKNIFTY,2021-01-13,2021-02-11,PE,32600.0,3287.45,,,34684.0,29,32574.65,25.349999999998545,1
BANKNIFTY,2021-01-14,2021-02-11,PE,32500.0,3221.65,,,34684.0,28,32519.75,19.75,2
BANKNIFTY,2021-01-15,2021-02-11,PE,32200.0,3028.1,,,34684.0,27,32246.8,46.79999999999927,3
BANKNIFTY,2021-01-18,2021-02-18,PE,31800.0,2574.1,,,34684.0,31,31811.75,11.75,1
BANKNIFTY,2021-01-19,2021-02-18,PE,32400.0,2937.7,,,34684.0,30,32424.85,24.849999999998545,0
BANKNIFTY,2021-01-20,2021-02-18,PE,32500.0,3000.65,,,34684.0,29,32543.7,43.70000000000073,1
BANKNIFTY,2021-01-21,2021-02-18,PE,32200.0,2813.8,,,34684.0,28,32186.9,13.099999999998545,2
BANKNIFTY,2021-01-22,2021-02-18,PE,31200.0,1480.0,,,34684.0,27,31167.25,32.75,3
BANKNIFTY,2021-01-25,2021-02-25,PE,31200.0,1098.05,309.0,3575.0,34684.0,31,31198.4,1.5999999999985448,1
BANKNIFTY,2021-01-27,2021-02-25,PE,30300.0,1112.95,81.0,900.0,34684.0,29,30284.55,15.450000000000728,1
BANKNIFTY,2021-01-28,2021-02-25,PE,30400.0,1052.1,172.0,3550.0,34684.0,28,30358.3,41.70000000000073,2
