Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2021-01-01,31297.3,31384.35,31188.25,31225.85,362816824,4578.68
2021-01-04,31485.15,31489.6,30893.65,31212.45,455777638,7332.25
2021-01-05,31041.1,31767.65,30935.55,31722.25,427039458,9737.71
2021-01-06,31839.95,31982.3,31548.15,31797.9,546145047,10578.97
2021-01-07,32129.8,32177.4,31911.5,31956.0,503480241,9322.79
2021-01-08,32298.05,32298.05,32002.95,32084.2,320076839,7620.85
2021-01-11,32280.3,32288.45,31836.95,31998.9,262149604,6540.4
2021-01-12,31835.05,32397.95,31725.85,32339.0,518130302,9541.83
2021-01-13,32546.6,32683.5,32148.25,32574.65,631806349,11456.79
2021-01-14,32526.7,32718.95,32442.35,32519.75,418770741,8111.58
2021-01-15,32508.9,32544.8,32044.35,32246.8,441548129,7707.34
2021-01-18,32275.15,32441.5,31650.9,31811.75,396843076,10758.03
2021-01-19,32082.9,32464.95,31863.95,32424.85,354794656,7543.27
2021-01-20,32388.95,32607.45,32322.9,32543.7,463373596,7574.88
2021-01-21,32732.8,32842.3,31985.55,32186.9,429690838,10074.06
2021-01-22,32088.0,32131.4,31119.9,31167.25,447189924,10066.98
2021-01-25,31507.15,31697.55,31013.65,31198.4,354685592,9568.9
2021-01-27,31236.25,31287.05,30165.65,30284.55,374955694,10597.04
2021-01-28,29812.3,30464.4,29687.7,30358.3,616602174,15327.03
2021-01-29,30700.65,31111.95,30254.55,30565.5,491234852,12337.91
2021-02-01,30976.35,33305.3,30906.45,33089.05,724603063,18740.71
2021-02-02,33589.05,34652.5,33583.15,34267.9,672200917,18419.28
2021-02-03,34555.6,34908.05,34011.9,34758.45,605204158,14904.35
2021-02-04,34548.9,35413.15,34238.9,35344.8,829671813,17326.58
2021-02-05,35634.95,36615.2,35545.0,35654.5,929584155,24845.74
2021-02-08,36073.85,36466.45,35872.25,35983.65,448653152,10478.23
2021-02-09,36058.8,36477.15,35636.85,36056.5,692481033,11793.28
2021-02-10,36042.35,36227.2,35428.15,35783.1,454605536,9891.1
2021-02-11,35687.25,36009.45,35573.3,35752.1,397926100,7513.29
2021-02-12,35736.6,36322.8,35700.25,36108.9,400613273,9137.78
2021-02-15,36501.4,37449.9,36405.1,37306.25,395960815,10012.45
2021-02-16,37492.6,37708.75,36762.75,37098.4,498415137,13143.7
2021-02-17,37041.95,37331.45,36764.25,36910.95,850487354,13395.15
2021-02-18,37088.75,37108.75,36367.45,36587.0,860331083,13935.68
2021-02-19,36371.55,36656.2,35584.6,35841.6,1057099488,14997.82
2021-02-22,35874.3,36128.9,35097.55,35257.2,558736003,12053.67
2021-02-23,35540.55,35680.85,34976.0,35116.95,495062997,10218.79
2021-02-24,35205.4,36567.65,35060.65,36452.3,272875395,7573.8
2021-02-25,36763.15,37232.2,36494.0,36549.0,455940302,13087.65
2021-02-26,35806.65,35902.9,34658.7,34803.6,583014812,16332.46
2021-03-01,35374.25,35581.1,34983.75,35296.0,321453194,7669.26
2021-03-02,35458.15,35747.05,35002.45,35419.7,313565974,7869.52
2021-03-03,35754.45,36455.15,35570.55,36368.05,526962435,9532.62
2021-03-04,35575.65,36316.4,35519.25,35802.5,518584470,10419.7
2021-03-05,35458.5,35616.05,34893.25,35228.15,479018691,11974.97
2021-03-08,35462.45,35827.3,35090.75,35275.75,300221829,8440.63
2021-03-09,35705.9,36077.8,35544.95,35865.65,276564848,9262.41
2021-03-10,36112.25,36176.9,35764.35,35938.3,210555025,6446.15
2021-03-12,36497.35,36497.35,35188.05,35496.65,273642948,7952.81
2021-03-15,35544.25,35544.25,34430.65,35182.55,353005770,9014.21
2021-03-16,35352.0,35405.05,34744.6,34804.6,311778180,7147.29
2021-03-17,34905.05,35100.5,34126.85,34229.25,294340779,7534.66
2021-03-18,34577.5,34759.85,33597.55,33856.8,365798753,7932.37
2021-03-19,33590.4,34355.4,33361.0,34161.6,457208862,10879.76
2021-03-22,34088.4,34148.9,33389.15,33603.45,298859239,7685.72
2021-03-23,33747.95,34360.05,33622.0,34184.4,365205246,9444.61
2021-03-24,33894.7,33970.65,33203.4,33293.25,345484145,8061.91
2021-03-25,33420.75,33550.15,32415.25,33006.45,486186269,10556.91
2021-03-26,33605.05,33610.65,33166.1,33318.2,291664756,6932.74
2021-03-30,33615.9,33990.8,33564.55,33875.1,374227813,10246.95
2021-03-31,33764.8,33773.1,33151.8,33303.9,317682921,8647.1
2021-04-01,33588.0,33949.15,33208.75,33858.0,275264439,8451.84
2021-04-05,33649.15,33697.75,32330.15,32678.85,306389349,8317.73
2021-04-06,32915.65,33007.65,32338.4,32501.35,263466128,7146.59
2021-04-07,32529.7,33191.7,32141.55,32991.2,301661823,8454.15
2021-04-08,33154.2,33306.8,32704.75,32782.85,242109321,6459.28
2021-04-09,32636.9,32972.15,32329.95,32448.05,342531390,8525.93
2021-04-12,31637.9,31698.05,30520.3,30792.0,500839301,10617.9
2021-04-13,30901.8,31885.45,30722.85,31771.6,394495718,8562.91
2021-04-15,31929.1,32187.05,31406.4,32112.85,359820808,10459.88
2021-04-16,32161.45,32325.15,31911.9,31977.45,282437841,6904.9
2021-04-19,30993.45,31304.3,30405.65,31208.4,371591981,9337.41
2021-04-20,31568.95,31731.65,30891.0,31112.7,301980700,7876.41
2021-04-22,30763.5,31834.5,30555.25,31782.6,324393822,10428.93
2021-04-23,31490.6,32148.4,31377.15,31722.3,333782207,8936.18
2021-04-26,32316.65,32603.7,32144.8,32275.15,312038031,11319.42
2021-04-27,32228.95,32807.1,32152.95,32735.35,298418626,10157.29
2021-04-28,32865.5,33777.7,32840.3,33722.8,354104361,12947.01
2021-04-29,33901.6,34287.0,33304.6,33714.5,381173342,11785.88
2021-04-30,33112.4,33455.25,32663.4,32781.8,356408638,11062.75
2021-05-03,32368.55,32566.6,31906.55,32465.75,313628139,9845.07
2021-05-04,32610.4,33011.55,32191.4,32270.35,672537145,10097.81
2021-05-05,32577.1,32862.15,32068.55,32783.7,343564356,7341.58
2021-05-06,32900.75,32956.35,32564.0,32827.8,268011511,6399.32
2021-05-07,33041.65,33259.15,32771.35,32904.5,261346010,5927.59
2021-05-10,33175.3,33297.6,33028.15,33142.4,366829284,6814.19
2021-05-11,32640.95,33154.3,32611.7,32872.2,410859353,7328.56
2021-05-12,32717.65,32747.7,32352.3,32452.3,530601264,7947.48
2021-05-14,32495.15,32622.65,32115.5,32169.55,344502670,6778.47
2021-05-17,32437.85,33506.9,32318.7,33459.25,432480348,11186.93
2021-05-18,33893.1,34142.85,33730.45,33922.4,385809306,10877.63
2021-05-19,33717.1,33959.3,33608.25,33685.2,310365750,7151.62
2021-05-20,33692.55,33833.7,33273.95,33334.55,498149396,7971.93
2021-05-21,33559.8,34694.45,33559.75,34606.9,534919600,15481.77
2021-05-24,34869.3,35216.1,34528.3,34943.6,618209361,13622.16
2021-05-25,35095.0,35125.85,34410.4,34662.0,349434738,7934.33
2021-05-26,34757.15,34897.95,34462.5,34684.2,321416671,6958.58
2021-05-27,34664.2,35220.8,34529.7,35095.05,726180251,12383.5
2021-05-28,35345.65,35436.65,34977.2,35141.45,551320823,10112.32
2021-05-31,35097.45,35584.3,34930.1,35526.65,379880136,7409.4
2021-06-01,35639.75,35713.9,35241.2,35337.2,323916139,7023.03
2021-06-02,35271.6,35415.85,35070.3,35373.75,591363574,8204.85
2021-06-03,35536.45,35723.7,35413.0,35649.0,421766510,8052.52
2021-06-04,35657.85,35810.9,35176.15,35291.65,282780039,6361.13
2021-06-07,35460.8,35545.85,35338.55,35443.65,253219977,4479.08
