Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,59300.00,287.05,334.70,244.65,256.30,256.10,256.30,5985.00,124801.42,582.75,23695.00,17255.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,54900.00,-,-,-,2135.00,2135.00,3045.50,-,-,-,245.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,50100.00,-,-,-,6384.25,-,7481.60,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,59700.00,224.15,263.60,181.10,188.85,187.65,188.85,4323.00,90646.42,317.33,36855.00,3990.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,54700.00,-,-,-,2286.20,2286.20,3205.60,-,-,-,280.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,52700.00,-,-,-,4040.60,4040.60,4964.65,-,-,-,175.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,53100.00,-,-,-,3970.00,3970.00,4594.35,-,-,-,315.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,60700.00,104.00,117.80,84.10,88.05,87.50,88.05,3108.00,66132.95,103.49,21595.00,-4340.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,54800.00,-,-,-,2480.00,2480.00,3125.10,-,-,-,3010.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,58300.00,597.00,666.65,515.15,537.60,527.00,537.60,10419.00,214694.94,2095.24,55405.00,23905.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,52800.00,-,-,-,3900.00,3900.00,4871.40,-,-,-,105.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,62100.00,107.55,107.55,33.55,35.15,33.90,35.15,577.00,12548.49,7.39,3815.00,3815.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,50900.00,-,-,-,6270.00,6270.00,6694.45,-,-,-,315.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,55900.00,2058.15,2109.60,1975.00,1975.00,1975.00,2302.35,23.00,466.39,16.39,6895.00,140.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,56400.00,1753.95,1754.00,1535.00,1569.85,1545.00,1569.85,195.00,3962.86,113.56,17325.00,-770.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,62500.00,30.95,34.00,26.95,28.05,27.25,28.05,9067.00,198433.37,92.75,172130.00,28910.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,60000.00,172.25,194.50,141.50,149.15,147.00,149.15,42931.00,903970.14,2419.14,869715.00,-4375.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,58800.00,418.65,476.65,360.00,375.70,367.25,375.70,7495.00,155317.35,1070.25,46690.00,9135.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,48600.00,-,-,-,7681.90,-,8968.30,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,60100.00,164.95,183.45,131.40,139.05,137.70,139.05,4041.00,85214.67,212.24,33250.00,7105.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,62400.00,-,-,-,518.25,-,120.50,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,57800.00,818.85,907.65,713.10,746.45,729.25,746.45,20655.00,423648.52,5797.87,86170.00,40005.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,58700.00,437.05,511.05,384.45,404.60,402.45,404.60,6592.00,136437.38,1004.74,33285.00,10185.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,50000.00,7603.20,7732.25,7450.00,7489.90,7480.00,7489.90,80.00,1613.35,213.35,126350.00,105.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,49800.00,-,-,-,6636.85,-,7778.15,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,53700.00,-,-,-,3210.00,3210.00,4053.90,-,-,-,665.00,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,49200.00,-,-,-,7152.85,-,8372.65,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,57900.00,770.00,857.00,671.10,699.75,691.95,699.75,11325.00,232475.28,2974.16,55650.00,22190.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,60300.00,185.85,185.85,112.45,119.45,115.80,119.45,2024.00,42805.84,89.32,12005.00,12005.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,49300.00,-,-,-,7065.90,-,8273.45,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,59200.00,306.35,358.05,266.90,278.20,275.00,278.20,7617.00,158634.87,810.63,32410.00,15225.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,62300.00,-,-,-,532.95,-,128.15,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,58500.00,519.40,585.90,445.80,467.85,456.65,467.85,39998.00,826008.94,7049.89,287280.00,47355.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,59600.00,235.00,238.10,194.30,203.70,201.45,203.70,3469.00,72619.99,256.65,15050.00,15050.00,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,49100.00,-,-,-,7240.20,-,8471.85,-,-,-,-,-,57312.75
BANKNIFTY,30-Jun-2025,31-Jul-2025,CE,60800.00,101.35,116.30,77.75,81.85,82.00,81.85,3870.00,82472.57,118.97,28140.00,27440.00,57312.75
