Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,47700.00,3960.40,3960.40,3960.40,3960.40,3960.40,3960.40,1.00,15.50,1.19,2850.00,-30.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48700.00,3068.00,3333.20,3022.00,3200.00,3200.00,3200.00,94.00,1465.77,92.43,10230.00,-180.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48100.00,3998.95,3999.00,3987.15,3987.15,3987.15,3736.85,3.00,46.89,3.60,1260.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51100.00,1340.00,1408.00,1059.45,1186.65,1190.30,1186.65,3148.00,49392.18,1133.34,13650.00,3810.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48200.00,3600.00,3780.20,3451.15,3610.00,3610.00,3610.00,27.00,419.28,28.86,6480.00,-360.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,49200.00,2898.70,2990.05,2593.65,2721.85,2725.55,2721.85,36.00,560.78,29.42,16890.00,-300.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,50200.00,1990.00,2072.65,1722.00,1865.40,1872.40,1865.40,166.00,2592.93,92.97,10020.00,-540.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,50300.00,1962.75,1987.55,1632.20,1781.25,1783.50,1781.25,255.00,3986.01,138.06,15870.00,660.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51200.00,1242.95,1338.55,995.00,1118.35,1119.25,1118.35,9370.00,147107.40,3184.20,31350.00,-3390.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48300.00,3501.00,3700.00,3410.00,3410.00,3410.00,3548.35,5.00,77.80,5.35,3750.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,49300.00,2900.00,2900.00,2600.00,2669.85,2669.85,2645.15,22.00,343.61,18.23,8130.00,210.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,47600.00,-,-,-,2895.50,2895.50,4215.75,-,-,-,120.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44100.00,-,-,-,6139.70,-,7676.45,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45200.00,-,-,-,5194.40,-,6582.25,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,42900.00,-,-,-,7226.55,-,8870.65,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,47300.00,-,-,-,1588.25,1588.25,4507.10,-,-,-,180.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44200.00,-,-,-,6051.50,-,7576.95,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45300.00,-,-,-,5111.40,-,6482.80,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46300.00,-,-,-,2472.00,2472.00,5490.60,-,-,-,120.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44300.00,-,-,-,5900.00,5900.00,7477.45,-,-,-,30.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45400.00,-,-,-,3427.00,3427.00,6383.45,-,-,-,90.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,47400.00,-,-,-,3508.80,-,4409.70,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46400.00,-,-,-,2261.90,2261.90,5391.70,-,-,-,150.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,47500.00,4433.05,4544.55,4152.00,4366.05,4364.40,4366.05,340.00,5280.46,435.46,29730.00,7590.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44400.00,-,-,-,5876.40,-,7377.95,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45500.00,-,-,-,6300.00,6300.00,6284.05,-,-,-,54000.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46500.00,5301.00,5350.00,5141.05,5350.00,5350.00,5350.00,48.00,745.52,75.92,61230.00,660.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43000.00,8820.00,8999.00,8697.25,8769.35,8788.00,8769.35,66.00,1026.05,174.65,7650.00,1800.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44500.00,-,-,-,5789.50,-,7278.45,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45600.00,-,-,-,4865.75,-,6184.75,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43100.00,-,-,-,7042.15,-,8671.60,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46600.00,-,-,-,2105.45,2105.45,5194.15,-,-,-,60.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43200.00,-,-,-,7400.00,7400.00,8572.05,-,-,-,30.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44600.00,-,-,-,5703.05,-,7178.95,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45700.00,-,-,-,6116.00,6116.00,6085.45,-,-,-,210.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46700.00,-,-,-,4011.20,-,5095.50,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43300.00,-,-,-,6858.90,-,8472.55,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43400.00,-,-,-,6767.80,-,8373.05,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44700.00,-,-,-,5617.05,-,7079.50,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45800.00,-,-,-,2726.75,2726.75,5986.15,-,-,-,120.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46800.00,-,-,-,1983.25,1983.25,4997.05,-,-,-,150.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43500.00,-,-,-,8425.00,8425.00,8273.50,-,-,-,180.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44800.00,-,-,-,5531.55,-,6980.00,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,45900.00,-,-,-,4625.20,-,5886.95,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46900.00,-,-,-,3425.00,3425.00,4898.70,-,-,-,180.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43600.00,-,-,-,6586.55,-,8174.00,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,44900.00,-,-,-,4142.75,4142.75,6880.55,-,-,-,60.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46000.00,6000.00,6022.00,5655.00,5845.55,5845.55,5787.75,100.00,1556.38,176.38,181920.00,690.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,43700.00,-,-,-,6496.40,-,8074.50,-,-,-,-,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,46100.00,-,-,-,5759.95,5759.95,5688.65,-,-,-,240.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,40500.00,-,-,-,11281.60,11308.80,11259.10,-,-,-,750.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,41000.00,10800.00,10928.15,10730.00,10756.80,10761.65,10756.80,16.00,248.53,51.73,3480.00,150.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,41500.00,-,-,-,10224.95,10224.95,10263.90,-,-,-,210.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,42000.00,9650.00,9806.40,9627.85,9709.20,9704.55,9709.20,36.00,558.55,104.95,17190.00,780.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51300.00,1212.95,1265.05,932.40,1055.35,1054.15,1055.35,16772.00,263373.50,5252.42,37380.00,6660.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48400.00,3340.00,3645.60,3337.65,3372.45,3372.45,3454.90,29.00,451.30,30.22,7200.00,-510.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,49400.00,2680.00,2680.00,2394.00,2572.85,2582.20,2572.85,26.00,404.90,19.58,4140.00,60.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,50400.00,1882.65,1942.25,1572.30,1715.20,1733.80,1715.20,399.00,6238.98,206.10,15270.00,-60.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51400.00,1119.95,1200.10,873.75,992.30,992.55,992.30,50988.00,801144.09,14909.13,48810.00,12150.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48500.00,3518.75,3584.65,3210.00,3410.55,3402.85,3410.55,309.00,4803.62,307.67,177360.00,4320.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,49500.00,2590.60,2717.55,2293.50,2476.45,2488.60,2476.45,2838.00,44202.46,2058.16,225930.00,-3960.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51500.00,1049.90,1133.90,816.05,931.40,929.05,931.40,180914.00,2845953.26,50831.96,672960.00,114330.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,48600.00,3469.45,3469.45,3205.45,3205.45,3205.45,3269.75,2.00,31.16,2.00,4800.00,-30.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,49600.00,2464.95,2464.95,2158.55,2344.00,2344.00,2344.00,6.00,93.39,4.11,10800.00,-,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,50500.00,1815.95,1864.80,1472.20,1627.70,1625.00,1627.70,6266.00,97982.11,3052.21,280140.00,-8580.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,50600.00,1722.15,1783.75,1414.15,1543.95,1556.70,1543.95,652.00,10205.79,308.43,20130.00,-810.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,58500.00,15.70,17.80,9.55,11.50,10.95,11.50,12369.00,217124.30,48.35,34470.00,17700.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,59000.00,12.05,14.00,8.70,10.45,9.10,10.45,96211.00,1703261.24,326.54,612000.00,427920.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,56300.00,36.00,37.65,19.10,22.60,23.80,22.60,6010.00,101555.75,46.85,23790.00,21540.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,56400.00,30.65,42.00,19.35,21.40,20.60,21.40,5973.00,101107.28,44.12,21600.00,17370.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51700.00,926.95,1008.00,710.55,817.35,815.00,817.35,146266.00,2305894.72,37309.06,178080.00,86700.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,55600.00,45.55,49.20,30.75,34.00,33.25,34.00,3879.00,64745.19,43.47,16020.00,8790.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,55700.00,50.00,54.45,28.15,32.55,32.65,32.55,4837.00,80878.96,52.69,4080.00,3930.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,52500.00,519.90,578.00,376.00,442.35,441.00,442.35,139838.00,2221837.58,19389.08,553740.00,135360.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,55800.00,44.20,44.30,26.30,30.20,29.70,30.20,4656.00,77988.03,46.59,9300.00,3960.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,55900.00,38.15,42.80,26.00,28.70,27.35,28.70,3576.00,60003.90,34.38,10920.00,8670.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,52600.00,490.05,535.70,344.75,406.10,406.60,406.10,53650.00,853540.48,6943.48,81210.00,20010.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,53600.00,200.00,229.45,136.30,162.55,161.50,162.55,20137.00,324860.80,1057.84,55050.00,19650.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,54600.00,90.00,100.85,59.00,68.05,66.20,68.05,10296.00,168875.01,226.53,34230.00,21510.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,56000.00,38.95,42.95,24.65,27.20,26.05,27.20,56449.00,948843.96,500.76,419550.00,110250.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,53700.00,183.55,207.20,123.85,148.25,147.00,148.25,22056.00,356363.68,1041.52,46560.00,21030.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,56100.00,37.30,40.70,22.75,25.60,24.65,25.60,2940.00,49505.65,25.45,14190.00,11550.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,52700.00,418.15,493.80,315.30,373.90,369.25,373.90,41879.00,667005.44,4898.45,90900.00,37410.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,53800.00,169.00,192.05,114.05,134.65,134.75,134.65,15886.00,257079.05,679.01,65070.00,37770.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,54700.00,81.90,95.25,54.75,63.95,63.35,63.95,9530.00,156577.31,190.01,31800.00,22830.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,56200.00,34.50,40.80,21.15,24.10,23.95,24.10,3399.00,57335.36,28.22,18330.00,16140.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,52800.00,436.85,455.00,287.25,338.90,337.40,338.90,43453.00,693020.89,4725.37,123540.00,74940.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,54800.00,92.00,92.00,51.25,59.00,56.55,59.00,9149.00,150583.20,173.64,24840.00,14160.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51800.00,869.40,948.05,659.70,761.45,760.00,761.45,134408.00,2120750.61,32050.29,187710.00,79530.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,53900.00,166.45,173.40,103.95,124.50,122.35,124.50,12724.00,206244.95,497.87,41520.00,25290.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,54900.00,63.80,79.40,47.75,55.60,54.20,55.60,9194.00,151588.22,163.04,37920.00,28230.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,52900.00,385.25,419.05,262.00,310.85,308.65,310.85,33238.00,530786.16,3299.10,60510.00,16290.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,54000.00,143.00,159.95,95.40,113.15,112.00,113.15,101793.00,1652674.36,3627.76,704910.00,175320.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,51900.00,900.00,919.00,614.15,710.10,705.30,710.10,79413.00,1254089.04,17628.63,128490.00,41430.00,-
BANKNIFTY,28-Mar-2025,24-Apr-2025,CE,53000.00,348.00,383.95,236.55,281.00,280.10,281.00,182591.00,2919391.96,16195.06,1287210.00,177390.00,-
