Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,50200.00,-,-,-,4455.45,4455.45,54635.85,-,-,-,140.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,53500.00,1199.90,1320.00,1032.25,1132.00,1138.35,54635.85,1053.00,20142.00,424.57,27055.00,-5460.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,58400.00,2.90,3.25,0.05,0.20,0.10,54635.85,3164.00,64674.28,2.12,12635.00,-70.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,49400.00,-,-,-,8658.75,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,47500.00,-,-,-,7247.35,7247.35,54635.85,-,-,-,35.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,49900.00,-,-,-,8195.25,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,58100.00,2.65,4.50,0.05,0.10,0.05,54635.85,8071.00,164128.72,4.93,102760.00,-5285.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,49800.00,-,-,-,8287.45,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,62000.00,1.50,1.95,0.05,0.10,0.05,54635.85,11361.00,246537.16,3.46,153825.00,-32340.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,58500.00,2.90,3.05,0.05,0.10,0.05,54635.85,35916.00,735403.80,23.70,148750.00,-68320.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,58600.00,3.20,5.05,0.05,0.15,0.05,54635.85,10076.00,206665.96,7.20,24815.00,-2345.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,59100.00,3.45,3.45,0.05,0.10,0.05,54635.85,4704.00,97304.36,2.12,47670.00,-280.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,55300.00,12.70,22.30,0.10,0.30,0.15,54635.85,495626.00,9594051.80,1210.57,358435.00,-230545.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,42000.00,-,-,-,15278.10,-,54635.85,-,-,-,-,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,58300.00,0.90,4.70,0.05,0.15,0.30,54635.85,6546.00,133575.97,4.84,19285.00,-6720.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,54600.00,164.95,287.45,9.00,30.30,35.55,54635.85,4563181.00,87340388.47,137999.56,697515.00,87255.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,52900.00,1685.00,1771.15,1685.00,1764.10,1764.10,54635.85,19.00,363.38,11.60,2450.00,-420.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,60400.00,4.30,4.30,0.05,0.15,0.50,54635.85,1874.00,39617.13,0.77,5425.00,1330.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,60200.00,2.70,4.00,0.05,0.25,0.60,54635.85,2171.00,45744.10,1.13,3185.00,1960.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,63500.00,1.25,2.50,0.05,0.15,0.05,54635.85,2535.00,56341.22,0.84,13685.00,-16975.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,59800.00,4.70,4.75,0.05,0.45,0.45,54635.85,2336.00,48893.55,1.07,6685.00,-1750.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,60300.00,2.50,3.00,0.05,0.15,0.10,54635.85,1815.00,38306.31,0.73,3885.00,1925.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,65000.00,1.20,2.80,0.05,0.05,0.05,54635.85,18350.00,417467.67,5.17,725900.00,54635.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,53200.00,1450.00,1450.60,1383.95,1445.95,1445.95,54635.85,13.00,248.49,6.43,5110.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,61000.00,1.55,3.10,0.05,0.10,0.30,54635.85,6539.00,139610.42,2.77,71015.00,-46620.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,56200.00,3.00,4.90,0.05,0.15,0.10,54635.85,127038.00,2498946.37,108.91,313950.00,46795.00,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,51600.00,-,-,-,3115.00,3115.00,54635.85,-,-,-,175.00,-,54635.85
BANKNIFTY,30-Sep-2025,30-Sep-2025,CE,62300.00,1.90,2.80,0.70,0.70,0.70,54635.85,311.00,6781.48,0.13,6230.00,770.00,54635.85
