Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,53500.00,3.10,3.10,2.25,2.40,2.60,2.40,122656.00,984362.34,47.94,179655.00,-9540.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,54000.00,2.70,3.35,2.05,2.50,2.50,2.50,132653.00,1074538.87,49.57,701550.00,375855.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,54500.00,2.50,2.80,2.15,2.40,2.40,2.40,183616.00,1501125.02,64.22,465000.00,286290.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,48000.00,700.00,700.05,422.45,564.35,504.90,564.35,851366.00,6198482.04,68646.84,628305.00,145440.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,48100.00,690.45,690.45,366.00,498.55,441.10,498.55,1022435.00,7448463.01,71594.49,248775.00,188460.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,48200.00,533.05,542.95,313.40,429.30,378.70,429.30,2719702.00,19832973.45,169527.99,581025.00,474915.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,48300.00,465.25,482.50,265.50,373.40,317.80,373.40,3780040.00,27597336.20,210946.40,987675.00,820365.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,46200.00,2321.90,2321.90,1993.70,2157.60,2114.15,2157.60,186.00,1346.41,57.43,2940.00,585.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,46300.00,2000.00,2098.55,1995.10,2014.05,2053.00,2014.05,28.00,203.01,8.55,5430.00,30.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,45500.00,2958.20,2975.00,2696.00,2824.25,2811.95,2824.25,394.00,2858.45,169.40,8220.00,390.00,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,40500.00,-,-,-,3427.20,-,7829.70,-,-,-,-,-,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,45600.00,-,-,-,3050.00,3050.00,2734.60,-,-,-,930.00,-,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,45700.00,-,-,-,3010.00,3010.00,2634.80,-,-,-,900.00,-,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,40900.00,-,-,-,3082.85,-,7430.05,-,-,-,-,-,48292.25
BANKNIFTY,29-Dec-2023,03-Jan-2024,CE,41000.00,-,-,-,7560.00,7560.00,7330.15,-,-,-,45.00,-,48292.25
