Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,44800.00,421.00,501.65,256.75,277.05,266.30,277.05,1482367.00,16718885.42,116375.02,1240850.00,1191800.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,44900.00,490.85,575.40,308.25,331.90,319.65,331.90,493409.00,5584329.83,45813.81,474075.00,458675.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,49500.00,-,-,-,5442.05,-,4695.30,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,50000.00,-,-,-,5918.35,-,5194.70,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45000.00,500.05,650.00,367.75,393.10,380.00,393.10,443173.00,5034974.51,49278.26,524325.00,412100.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,50500.00,-,-,-,6400.10,-,5694.10,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45100.00,666.75,723.05,433.25,461.10,448.00,461.10,63445.00,723379.38,8037.01,121975.00,112225.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45200.00,731.30,808.40,505.75,535.95,523.00,535.95,31839.00,364409.26,4628.56,64450.00,58625.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45300.00,888.70,888.75,584.80,618.30,607.85,618.30,13402.00,154039.44,2261.79,22600.00,19575.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45400.00,927.10,992.10,670.00,703.70,690.00,703.70,4118.00,47520.37,781.07,15725.00,15450.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45500.00,1037.70,1078.65,757.35,795.25,776.05,795.25,12821.00,148567.54,2728.66,57900.00,23150.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45600.00,1099.05,1156.90,851.40,889.15,875.15,889.15,904.00,10522.88,217.28,3950.00,3825.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45700.00,1247.85,1247.85,949.60,984.35,979.20,984.35,433.00,5059.48,112.45,3050.00,3050.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43600.00,40.00,66.75,28.75,31.55,33.05,31.55,445100.00,4855498.88,3908.88,1350500.00,908300.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43700.00,52.00,83.70,33.55,37.05,38.55,37.05,469613.00,5135539.58,5017.56,1062100.00,314550.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42900.00,22.55,22.55,13.65,15.25,17.05,15.25,157306.00,1687711.75,604.90,300425.00,109375.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43000.00,22.00,25.85,15.30,16.70,19.50,16.70,587642.00,6319663.40,2511.90,2880150.00,1496350.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43100.00,30.60,31.90,16.60,17.95,20.90,17.95,211131.00,2275935.65,999.13,410550.00,-72325.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,38500.00,3.05,3.05,3.05,3.05,3.05,3.05,178.00,1713.39,0.14,6375.00,2425.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,39000.00,6.00,6.70,3.75,5.20,5.65,5.20,126017.00,1228817.99,152.24,707200.00,168950.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43200.00,32.70,34.50,16.70,19.60,23.00,19.60,250863.00,2710624.83,1304.43,552000.00,162250.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,39500.00,6.00,7.80,4.30,5.70,5.50,5.70,98227.00,970117.97,126.34,606625.00,238625.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,40000.00,5.90,7.80,4.70,5.90,6.55,5.90,190513.00,1905392.69,262.69,749175.00,45375.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43300.00,25.00,39.75,19.95,21.55,24.90,21.55,255665.00,2769063.41,1489.79,483425.00,174700.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43400.00,34.00,46.65,22.40,24.80,26.50,24.80,312407.00,3391712.35,2096.40,514275.00,154600.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,40500.00,5.95,8.70,5.35,6.75,7.80,6.75,196184.00,1986671.52,308.52,1366675.00,607275.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,40900.00,7.20,9.70,4.05,6.75,8.25,6.75,30438.00,311277.60,49.05,47350.00,15025.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43500.00,44.90,55.60,25.60,28.35,31.10,28.35,631264.00,6869888.79,4892.79,1828850.00,569850.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41000.00,6.70,8.15,5.70,6.75,8.00,6.75,287035.00,2942576.96,468.21,874275.00,-81700.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41100.00,7.80,9.80,5.80,6.65,9.80,6.65,21116.00,217001.64,34.74,50500.00,12450.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41200.00,8.00,8.65,4.60,6.55,7.90,6.55,39060.00,402382.15,64.15,125225.00,23825.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41300.00,8.25,9.20,5.05,6.75,7.45,6.75,56458.00,583024.93,96.08,115400.00,22950.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41400.00,8.85,8.90,6.15,6.90,7.75,6.90,46497.00,481325.54,81.59,46925.00,15050.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41500.00,8.75,9.50,6.45,7.25,7.25,7.25,297916.00,3091416.76,538.26,1065825.00,351250.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41600.00,9.00,13.50,5.75,7.15,8.65,7.15,49423.00,514091.25,92.05,73325.00,39475.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41700.00,10.25,10.55,6.60,7.30,8.55,7.30,60072.00,626365.18,114.58,119850.00,72050.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41800.00,9.20,10.00,7.05,7.90,10.00,7.90,79159.00,827369.52,157.97,93775.00,31600.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,41900.00,9.55,10.50,5.25,8.00,9.00,8.00,74925.00,784994.58,155.21,83325.00,-11250.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42000.00,9.95,10.95,7.65,8.65,10.60,8.65,532335.00,5590668.48,1150.98,2004100.00,639625.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42100.00,11.85,11.85,7.85,8.85,11.80,8.85,94708.00,997013.86,212.16,136650.00,111050.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42200.00,11.15,12.00,6.55,9.25,11.65,9.25,103774.00,1095059.60,243.90,163950.00,102850.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42300.00,13.85,13.90,8.80,9.95,11.50,9.95,137496.00,1454361.45,341.25,285400.00,145775.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42400.00,10.10,16.35,9.45,10.60,16.35,10.60,171242.00,1815616.75,451.55,424475.00,248450.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42500.00,15.90,15.90,10.00,11.30,13.00,11.30,674604.00,7169565.62,1898.12,1918600.00,672650.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,42600.00,14.60,19.00,4.30,12.00,13.50,12.00,130202.00,1387043.91,392.61,208000.00,114125.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,37500.00,4.45,4.70,2.65,3.60,4.45,3.60,255416.00,2394742.99,217.99,1009450.00,448350.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43800.00,70.05,91.35,39.35,43.50,44.00,43.50,628618.00,6891348.94,7981.84,1248050.00,376300.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45800.00,1177.50,1177.50,1041.35,1082.85,1080.75,1082.85,288.00,3376.00,78.40,900.00,900.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,43900.00,85.20,113.00,46.50,51.25,50.55,51.25,567740.00,6239624.25,8677.75,902575.00,387575.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,44000.00,100.00,133.00,55.35,61.40,62.10,61.40,1466029.00,16153271.29,26952.29,2741650.00,1115250.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45900.00,1481.05,1481.05,1138.35,1179.35,1173.15,1179.35,149.00,1757.42,47.65,1275.00,975.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,46000.00,1499.20,1519.40,1241.50,1275.85,1255.40,1275.85,1150.00,13612.53,387.53,8700.00,775.00,-
