Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38000.00,4650.00,4720.00,4590.00,4717.95,4640.00,4717.95,509.00,5433.98,598.48,12725.00,12700.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35000.00,1294.95,1830.00,1294.00,1656.65,1600.45,1656.65,2509.00,22940.78,987.03,96450.00,-6375.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38100.00,-,-,-,3864.20,-,4792.30,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,36500.00,3013.35,3217.75,3013.35,3161.90,3167.45,3161.90,10.00,99.14,7.89,2925.00,-25.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38200.00,-,-,-,3933.45,-,4892.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35100.00,1466.75,1763.90,1466.75,1745.70,1745.70,1745.70,7.00,64.33,2.90,600.00,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,36600.00,-,-,-,3685.30,3685.30,3292.45,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,36700.00,-,-,-,3238.10,3238.10,3392.40,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38300.00,-,-,-,4003.20,-,4992.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35200.00,1850.00,1880.50,1840.00,1860.25,1880.50,1860.25,5.00,46.32,2.32,12900.00,25.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38400.00,-,-,-,3820.60,-,5092.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35300.00,1665.00,2183.70,1665.00,1950.25,1934.75,1950.25,14.00,130.35,6.80,13650.00,-25.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,36800.00,-,-,-,3677.80,-,3492.40,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,36900.00,-,-,-,3068.15,3068.15,3592.40,-,-,-,25.00,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38500.00,-,-,-,3890.10,-,5192.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35400.00,1776.75,2134.10,1776.75,2029.10,2029.10,2029.10,7.00,65.47,3.52,225.00,-50.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38600.00,-,-,-,3960.10,-,5292.25,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35500.00,1849.95,2313.20,1849.95,2163.65,2129.90,2163.65,254.00,2385.92,131.67,6150.00,475.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,37000.00,3465.85,3799.80,3460.00,3672.70,3672.70,3692.40,40.00,406.23,36.23,6975.00,-450.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38700.00,-,-,-,4030.70,-,5392.20,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38800.00,-,-,-,3865.35,-,5492.20,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35600.00,1998.10,2318.00,1998.10,2246.70,2234.40,2246.70,276.00,2607.76,151.36,14100.00,125.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,37100.00,-,-,-,3884.15,-,3792.40,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,38900.00,-,-,-,3935.25,-,5592.20,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,35700.00,2139.80,2714.65,2139.80,2714.65,2714.65,2392.60,4.00,38.00,2.30,13125.00,25.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,37200.00,-,-,-,3954.05,-,3892.35,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,39000.00,-,-,-,4005.70,-,5692.20,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28000.00,3.50,4.00,0.75,1.00,0.90,1.00,7264.00,50852.01,4.01,59650.00,-13650.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28100.00,-,-,-,1000.45,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28200.00,-,-,-,9.50,9.50,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28300.00,-,-,-,867.20,-,-,-,-,-,-,-,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,29100.00,5.00,5.00,1.40,1.95,1.70,1.95,68.00,494.75,0.05,5900.00,150.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28700.00,4.00,4.00,2.30,2.30,2.30,2.30,24.00,172.22,0.02,3425.00,475.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,29000.00,4.40,4.50,0.90,1.65,2.30,1.65,23405.00,169702.33,16.08,140875.00,-63625.00,34684.00
BANKNIFTY,31-Mar-2021,01-Apr-2021,PE,28400.00,3.05,3.10,1.05,1.30,1.30,1.30,83.00,589.35,0.05,4275.00,-575.00,34684.00
