Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,44900.00,517.60,569.00,275.85,351.85,336.95,351.85,704239.00,4780296.45,37246.79,227580.00,146040.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45000.00,550.00,648.15,338.00,423.10,408.70,423.10,695783.00,4740714.77,44179.52,616800.00,229185.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,47600.00,3325.50,3325.50,2789.90,2789.90,2789.90,2789.90,8.00,60.68,3.56,30.00,30.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,47700.00,-,-,-,3145.15,-,3069.55,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,47800.00,-,-,-,3226.80,-,3169.25,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45100.00,666.10,730.00,407.00,505.35,490.10,505.35,129533.00,885826.01,9535.26,77745.00,42675.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,47900.00,-,-,-,3309.20,-,3269.05,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48000.00,3484.35,3484.35,3300.00,3300.00,3300.00,3368.85,16.00,123.21,8.01,1065.00,-195.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45200.00,756.20,814.50,486.20,588.60,571.75,588.60,66604.00,457324.87,5749.75,69015.00,26145.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45300.00,850.45,900.75,570.00,677.30,663.05,677.30,42332.00,291928.01,4282.07,49590.00,-27150.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48100.00,-,-,-,3476.20,-,3468.70,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48200.00,-,-,-,3560.70,-,3568.55,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45400.00,919.15,994.80,658.40,775.20,760.65,775.20,21406.00,148161.94,2387.08,37590.00,-165.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48300.00,-,-,-,3645.90,-,3668.40,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48400.00,-,-,-,3731.75,-,3768.30,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48500.00,-,-,-,3400.95,3400.95,3868.15,-,-,-,45.00,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45500.00,1000.00,1090.55,751.00,874.30,853.80,874.30,24377.00,169517.03,3144.01,133695.00,-5160.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45600.00,1132.95,1182.30,850.00,973.05,951.10,973.05,4115.00,28731.07,584.47,27345.00,-1575.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48600.00,-,-,-,3905.30,-,3968.05,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,48700.00,-,-,-,3992.95,-,4067.95,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45700.00,1200.00,1274.30,947.25,1069.65,1062.25,1069.65,930.00,6521.16,146.01,10935.00,-435.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45800.00,1297.15,1375.25,1050.00,1171.15,1161.85,1171.15,685.00,4828.42,122.47,9615.00,585.00,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,49000.00,-,-,-,4259.20,-,4367.65,-,-,-,-,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,49500.00,4760.00,4875.00,4760.00,4875.00,4875.00,4875.00,22.00,179.25,15.90,315.00,-,44584.55
BANKNIFTY,29-Sep-2023,04-Oct-2023,PE,45900.00,1500.50,1500.50,1152.25,1262.65,1261.45,1262.65,249.00,1761.65,47.28,9105.00,90.00,44584.55
