Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55300.00,29.00,29.00,19.00,20.80,21.65,20.80,2354.00,39068.55,15.69,9600.00,-13890.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62400.00,-,-,-,4050.65,-,2692.85,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56100.00,34.05,34.65,29.50,30.95,31.30,30.95,391.00,6584.15,3.62,2850.00,2850.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56500.00,58.00,58.00,37.00,39.70,40.40,39.70,14392.00,244124.53,180.13,191370.00,-16680.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62500.00,2898.25,2898.25,2520.00,2658.45,2672.40,2658.45,26.00,508.56,21.06,7680.00,60.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64600.00,-,-,-,5804.95,-,4768.50,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53200.00,12.15,14.85,10.00,11.65,10.70,11.65,140.00,2234.89,0.49,1380.00,990.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55800.00,31.35,36.80,24.80,26.05,25.40,26.05,1184.00,19829.97,9.81,9270.00,1290.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61300.00,1738.10,1751.05,1448.35,1471.65,1471.65,1788.10,14.00,264.02,6.56,780.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62000.00,2300.00,2418.70,2041.15,2176.45,2128.60,2176.45,606.00,11667.22,395.62,64830.00,5460.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53500.00,13.05,14.90,10.95,13.25,13.00,13.25,2940.00,47198.84,11.84,50100.00,36270.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64200.00,-,-,-,5468.75,-,4377.75,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,52600.00,13.40,13.40,8.05,10.75,10.00,10.75,167.00,2635.75,0.49,960.00,210.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54700.00,18.85,20.40,15.00,16.65,16.95,16.65,655.00,10751.91,3.36,3390.00,1110.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54500.00,18.95,19.00,14.10,15.85,15.80,15.85,3686.00,60283.38,17.28,47190.00,390.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54300.00,15.05,16.85,12.60,15.15,14.00,15.15,473.00,7707.32,2.15,3930.00,360.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,52800.00,10.00,11.50,8.65,9.30,9.95,9.30,8.00,126.75,0.03,150.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63700.00,-,-,-,5058.20,-,3894.85,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,50500.00,7.85,8.00,6.00,7.05,6.25,7.05,495.00,7500.31,1.06,6600.00,930.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64800.00,-,-,-,5975.45,-,4964.95,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60300.00,997.25,1029.50,776.00,851.75,822.40,851.75,1649.00,30261.76,431.35,17430.00,10920.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60200.00,951.20,960.35,724.10,794.00,760.40,794.00,2796.00,51155.52,659.76,18600.00,11250.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56000.00,40.00,40.00,27.25,29.05,29.95,29.05,18742.00,315033.58,167.98,330690.00,110250.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64300.00,-,-,-,5552.15,-,4475.10,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57100.00,70.75,79.75,57.20,60.15,60.55,60.15,1996.00,34230.38,38.90,15540.00,2220.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,51000.00,8.20,8.25,6.05,6.80,6.05,6.80,2106.00,32226.33,4.53,37200.00,5580.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,52000.00,9.45,10.00,8.00,8.45,8.65,8.45,3225.00,50318.45,8.45,60480.00,23580.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54200.00,17.35,17.35,12.55,15.10,15.00,15.10,202.00,3285.39,0.87,4620.00,1590.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57300.00,99.40,99.40,66.25,70.65,70.60,70.65,3028.00,52121.39,70.07,24750.00,2880.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64100.00,-,-,-,5385.75,-,4280.60,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56900.00,70.00,70.00,49.25,51.70,51.75,51.70,1899.00,32447.02,31.09,14040.00,5970.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55100.00,20.35,21.35,15.50,18.95,19.30,18.95,137.00,2265.39,0.78,1350.00,1350.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56200.00,45.25,45.25,31.25,32.70,33.15,32.70,929.00,15672.51,9.57,2850.00,-870.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60500.00,1215.00,1215.00,889.85,969.65,940.15,969.65,5881.00,108470.31,1730.16,97650.00,27960.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62300.00,-,-,-,3974.25,-,2605.25,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58300.00,220.25,225.00,155.35,169.35,164.55,169.35,7900.00,138603.76,432.76,60690.00,24780.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54000.00,16.80,17.50,12.20,14.15,13.00,14.15,4747.00,76921.30,19.90,82050.00,11220.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,52900.00,13.00,13.00,9.40,11.50,11.50,11.50,90.00,1428.58,0.28,1590.00,510.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,51500.00,11.80,11.80,7.10,7.20,7.10,7.20,359.00,5547.42,0.87,3930.00,540.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61700.00,-,-,-,3544.50,-,2100.70,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,67500.00,7500.00,7500.00,7500.00,7500.00,7500.00,7644.30,2.00,45.00,4.50,2940.00,-60.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60000.00,919.90,961.20,625.00,687.65,663.05,687.65,49293.00,897476.94,10202.94,553680.00,162330.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55600.00,40.05,40.05,21.75,23.70,23.25,23.70,298.00,4972.83,2.19,1860.00,1860.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64000.00,4255.00,4255.00,3971.80,4015.40,4015.40,4183.70,13.00,265.49,15.89,3210.00,330.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62200.00,-,-,-,2350.00,2350.00,2518.55,-,-,-,60.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57600.00,123.25,123.25,85.45,90.95,89.75,90.95,3697.00,63992.76,108.60,29850.00,-390.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64500.00,-,-,-,5278.70,5278.70,4670.50,-,-,-,510.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58600.00,289.30,289.55,201.00,219.15,212.95,219.15,7961.00,140513.25,558.87,63000.00,6630.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54600.00,17.05,20.35,14.60,16.05,15.10,16.05,279.00,4571.37,1.35,3420.00,1470.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54400.00,18.45,18.45,13.80,15.75,15.60,15.75,833.00,13598.51,3.95,9150.00,4860.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57000.00,80.00,80.00,52.65,56.15,56.15,56.15,23178.00,396757.93,414.13,415680.00,15150.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58100.00,186.15,187.65,130.70,139.85,138.15,139.85,4665.00,81523.99,213.04,32280.00,16170.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57200.00,86.55,90.60,61.60,65.55,64.80,65.55,4861.00,83515.43,100.67,34140.00,10950.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56600.00,53.30,58.80,39.90,42.05,42.25,42.05,1676.00,28481.44,22.96,9030.00,2040.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53800.00,21.90,21.90,10.35,13.25,13.15,13.25,182.00,2938.20,0.72,450.00,90.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55900.00,37.50,37.50,26.05,28.25,28.00,28.25,988.00,16577.26,8.50,7140.00,2160.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60400.00,1060.95,1091.70,832.60,912.60,889.10,912.60,757.00,13927.75,210.91,10110.00,3930.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63400.00,-,-,-,4817.50,-,3609.25,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55000.00,26.00,26.00,16.75,18.95,19.50,18.95,13056.00,215498.47,74.47,292770.00,46350.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,59600.00,618.05,639.95,461.20,507.00,491.50,507.00,38237.00,689626.19,5948.63,131130.00,89700.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60100.00,875.95,911.95,672.75,740.15,717.25,740.15,4271.00,77950.94,944.81,23640.00,11550.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,64700.00,-,-,-,5890.00,-,4866.65,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,59500.00,610.00,686.40,422.45,465.45,451.30,465.45,109917.00,1978124.54,16106.09,1783440.00,243720.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58500.00,324.00,324.00,184.55,201.45,197.00,201.45,45889.00,808335.39,2983.44,469290.00,143790.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63800.00,-,-,-,5139.40,-,3990.80,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63500.00,3530.00,3687.30,3500.00,3617.35,3556.75,3617.35,125.00,2515.56,134.31,2010.00,1410.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61100.00,1638.70,1638.70,1289.45,1345.35,1345.35,1640.10,32.00,599.73,13.17,720.00,420.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61900.00,2042.80,2042.80,2042.80,2042.80,2042.80,2264.55,1.00,19.18,0.61,180.00,30.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,50000.00,6.85,7.90,5.55,6.15,6.15,6.15,7258.00,108884.91,14.91,120810.00,19980.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53600.00,12.00,13.95,11.00,12.95,11.70,12.95,99.00,1592.28,0.36,270.00,60.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62900.00,-,-,-,4426.35,-,3142.95,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61500.00,1925.55,1943.05,1610.00,1736.65,1689.85,1736.65,192.00,3642.28,99.88,15330.00,960.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53900.00,12.00,14.50,12.00,13.70,13.70,13.70,100.00,1617.40,0.40,300.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53400.00,18.80,18.80,10.30,11.75,11.80,11.75,136.00,2179.24,0.52,1140.00,300.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,55200.00,27.30,27.30,17.65,19.75,19.60,19.75,278.00,4605.42,1.74,2190.00,2190.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,52700.00,10.90,12.00,9.65,11.00,11.00,0.10,9.00,142.32,0.03,780.00,90.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63300.00,-,-,-,3920.00,3920.00,3514.95,-,-,-,30.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63600.00,-,-,-,4977.45,-,3799.25,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61800.00,-,-,-,3614.55,-,2182.05,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,59200.00,495.00,536.00,333.95,366.60,354.75,366.60,31796.00,568537.67,3840.71,172920.00,73110.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58200.00,200.40,204.95,142.25,153.40,151.30,153.40,6902.00,120854.25,345.33,99180.00,50850.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53700.00,16.55,16.55,11.00,12.30,12.65,12.30,85.00,1369.67,0.32,240.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,65000.00,5303.75,5303.75,4957.15,5068.65,5056.70,5068.65,146.00,3070.20,223.20,62910.00,570.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63900.00,-,-,-,5221.05,-,4087.10,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,66000.00,-,-,-,6341.20,6335.70,6152.25,-,-,-,1170.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63000.00,3300.00,3360.00,3000.00,3142.40,3088.10,3142.40,250.00,4962.81,237.81,29370.00,4920.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56400.00,53.50,53.50,35.70,37.75,36.65,37.75,2813.00,47630.68,34.72,34500.00,120.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,55000.00,75.00,76.25,58.90,61.25,59.85,61.25,418.00,6905.13,8.13,17370.00,1470.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,67500.00,-,-,-,7815.15,-,7373.60,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,61000.00,1570.65,1570.65,1332.00,1400.95,1350.00,1400.95,317.00,5935.52,134.42,8940.00,4140.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,59900.00,892.30,899.25,811.95,811.95,811.95,1126.60,4.00,72.93,1.05,150.00,60.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,54200.00,-,-,-,267.10,-,23.60,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,64000.00,3690.00,3690.00,3690.00,3690.00,3690.00,4053.00,1.00,20.31,1.11,30.00,30.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,63100.00,-,-,-,4073.60,-,3277.40,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,54500.00,-,-,-,306.65,-,31.50,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,59400.00,811.00,811.00,629.50,673.00,657.75,673.00,282.00,5084.59,59.35,2610.00,1350.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,59600.00,810.45,810.45,693.65,736.00,727.60,736.00,103.00,1864.41,22.77,2790.00,660.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,60200.00,1037.25,1037.25,950.35,955.00,955.00,1277.30,5.00,91.76,1.46,120.00,30.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,61100.00,-,-,-,2698.80,-,1797.90,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,60100.00,936.90,936.90,936.90,936.90,936.90,1225.80,1.00,18.31,0.28,90.00,30.00,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,65000.00,-,-,-,5593.55,-,4966.10,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,58600.00,-,-,-,1403.20,-,606.45,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,24-Feb-2026,PE,60800.00,-,-,-,2517.35,-,1613.20,-,-,-,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54800.00,18.50,18.95,15.30,17.20,17.00,17.20,221.00,3634.39,1.15,3540.00,1680.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56300.00,49.10,49.10,32.95,34.65,34.45,34.65,1457.00,24624.58,15.85,12210.00,3480.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,56800.00,60.15,64.00,45.85,48.55,48.55,48.55,2218.00,37829.33,34.61,14190.00,7770.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,59900.00,782.45,788.10,580.00,637.00,615.00,637.00,13230.00,240262.82,2519.72,72780.00,58920.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61400.00,1845.20,1845.20,1554.15,1628.55,1628.55,1628.55,13.00,245.81,6.35,420.00,90.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58000.00,177.70,210.00,120.05,128.10,127.25,128.10,45512.00,793772.50,1863.70,645780.00,126690.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57700.00,150.00,150.00,92.60,99.15,96.00,99.15,4307.00,74691.45,137.28,39180.00,6210.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,62700.00,-,-,-,2608.05,2608.05,2960.65,-,-,-,120.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57500.00,123.00,123.00,78.75,83.75,82.95,83.75,27455.00,474356.56,757.81,386880.00,73890.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,58400.00,265.00,272.00,169.70,183.70,180.05,183.70,6807.00,119662.42,403.78,48750.00,25920.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60900.00,1417.80,1417.80,1166.25,1210.00,1210.00,1210.00,102.00,1901.81,38.27,1890.00,630.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,57400.00,105.00,107.55,72.00,76.10,76.35,76.10,6717.00,115832.42,165.68,82080.00,48300.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,60700.00,1270.20,1300.75,1013.15,1112.10,1076.30,1112.10,453.00,8398.81,149.68,8250.00,5220.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,53000.00,12.90,13.50,9.55,11.00,10.80,11.00,3773.00,60003.08,12.38,59850.00,10230.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,63100.00,3277.95,3277.95,3277.95,3277.95,3277.95,3327.80,1.00,19.91,0.98,360.00,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61600.00,1768.70,1827.70,1768.70,1803.20,1823.65,1803.20,4.00,76.08,2.16,-,-,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,54900.00,19.15,22.25,15.35,18.15,15.75,18.15,218.00,3591.65,1.19,1890.00,360.00,59581.85
BANKNIFTY,31-Dec-2025,27-Jan-2026,PE,61200.00,1697.85,1717.00,1410.20,1445.00,1445.00,1445.00,16.00,300.98,7.22,330.00,240.00,59581.85
